date,neighborhood,monitor_type,median_income_usd,pm25,notes
2023-04,Maple-Heights,reference,58000,11.7,"residential, tree-lined streets"
2023-05,Maple Heights,reference,58000,11.3,"residential, tree-lined streets"
2023-06,maple heights,reference,58000,9.9,"residential, tree-lined streets"
2023-07,MAPLE HEIGHTS,reference,58000,10.6,"residential, tree-lined streets"
2023-08,Maple-Heights,reference,58000,10.0,"residential, tree-lined streets"
2023-09,Maple Heights,reference,58000,11.2,"residential, tree-lined streets"
2023-10,maple heights,reference,58000,11.9,"residential, tree-lined streets"
2023-11,MAPLE HEIGHTS,reference,58000,13.8,"residential, tree-lined streets"
2023-12,Maple-Heights,reference,58000,15.7,"residential, tree-lined streets"
2023-01,Downtown,reference,68000,17.9,dense traffic corridor; year-round congestion
2023-02,DOWNTOWN,reference,68000,16.7,dense traffic corridor; year-round congestion
2023-03,downtown,reference,68000,15.9,dense traffic corridor; year-round congestion
2023-04,Downtown.,reference,68000,14.7,dense traffic corridor; year-round congestion
2023-05,Downtown,reference,68000,14.2,dense traffic corridor; year-round congestion
2023-06,DOWNTOWN,reference,68000,14.0,dense traffic corridor; year-round congestion
2023-07,downtown,reference,68000,14.0,dense traffic corridor; year-round congestion
2023-08,Downtown.,reference,68000,14.2,dense traffic corridor; year-round congestion
2023-09,Downtown,reference,68000,14.4,dense traffic corridor; year-round congestion
2023-10,DOWNTOWN,reference,68000,14.9,dense traffic corridor; year-round congestion
2023-11,downtown,reference,68000,16.5,dense traffic corridor; year-round congestion
2023-12,Downtown.,reference,68000,17.0,dense traffic corridor; year-round congestion
2023-01,Sunnyside,reference,72000,12.2,"residential, away from major roads"
2023-02,SUNNYSIDE,reference,72000,12.6,"residential, away from major roads"
2023-03,sunnyside,reference,72000,10.9,"residential, away from major roads"
2023-04,"Sunnyside,",reference,72000,9.0,"residential, away from major roads"
2023-05,Sunnyside,reference,72000,9.3,"residential, away from major roads"
2023-06,SUNNYSIDE,reference,72000,8.8,"residential, away from major roads"
2023-07,sunnyside,reference,72000,7.9,"residential, away from major roads"
2023-08,"Sunnyside,",reference,72000,8.8,"residential, away from major roads"
2023-09,Sunnyside,reference,72000,8.3,"residential, away from major roads"
2023-10,SUNNYSIDE,reference,72000,10.3,"residential, away from major roads"
2023-11,sunnyside,reference,72000,10.8,"residential, away from major roads"
2023-12,"Sunnyside,",reference,72000,12.6,"residential, away from major roads"
2023-01,Highland Park,reference,95000,9.5,"residential, elevated, low traffic"
2023-02,HIGHLAND PARK,reference,95000,9.6,"residential, elevated, low traffic"
2023-03,highland park,reference,95000,7.9,"residential, elevated, low traffic"
2023-04,Highland-Park,reference,95000,7.4,"residential, elevated, low traffic"
2023-05,Highland Park,reference,95000,7.1,"residential, elevated, low traffic"
2023-06,HIGHLAND PARK,reference,95000,5.7,"residential, elevated, low traffic"
2023-07,highland park,reference,95000,5.6,"residential, elevated, low traffic"
2023-08,Highland-Park,reference,95000,6.2,"residential, elevated, low traffic"
2023-09,Highland Park,reference,95000,6.2,"residential, elevated, low traffic"
2023-10,HIGHLAND PARK,reference,95000,6.8,"residential, elevated, low traffic"
2023-11,highland park,reference,95000,7.8,"residential, elevated, low traffic"
2023-12,Highland-Park,reference,95000,9.0,"residential, elevated, low traffic"
